plate,time
(-°.95139,2026-04-19 03:54:56
(7=.95139,2026-04-19 03:54:56
(722.95139,2026-04-19 03:54:56
6 -*.95139,2026-04-19 03:54:57
0722-95139\,2026-04-19 03:54:57
"="".95139",2026-04-19 03:54:57
(*.95139|,2026-04-19 03:54:57
(72295139),2026-04-19 03:54:58
(7-=.95139),2026-04-19 03:54:58
°°.95139),2026-04-19 03:54:58
(°2.95139,2026-04-19 03:54:58
6 Bae .95139,2026-04-19 03:54:59
2.95139),2026-04-19 03:54:59
27-95139),2026-04-19 03:54:59
02° .95139|,2026-04-19 03:54:59
O2~.95139),2026-04-19 03:55:00
O°.95139,2026-04-19 03:55:00
O° .95139),2026-04-19 03:55:00
°°.95139|,2026-04-19 03:55:00
6 #95139,2026-04-19 03:55:01
7.95139),2026-04-19 03:55:01
O°.95139),2026-04-19 03:55:01
56569 |,2026-04-19 03:55:05
56549 |,2026-04-19 03:55:06
56549 |,2026-04-19 03:55:06
56569.,2026-04-19 03:55:07
G95139,2026-04-19 03:56:53
795139,2026-04-19 03:56:54
195139,2026-04-19 03:56:54
695139,2026-04-19 03:56:54
072295139,2026-04-19 03:56:55
95139,2026-04-19 03:56:55
295139,2026-04-19 03:56:55
95139,2026-04-19 03:56:56
295139,2026-04-19 03:56:56
795139,2026-04-19 03:56:56
6AE95139,2026-04-19 03:56:56
95139,2026-04-19 03:56:57
2795139,2026-04-19 03:56:57
0295139,2026-04-19 03:56:57
O95139,2026-04-19 03:56:57
695139,2026-04-19 03:56:58
O95139,2026-04-19 03:56:58
095139,2026-04-19 03:56:58
695139,2026-04-19 03:56:58
795139,2026-04-19 03:56:59
O95139,2026-04-19 03:56:59
56569,2026-04-19 03:57:02
22892,2026-04-19 03:57:03
56549,2026-04-19 03:57:04
95139,2026-04-19 03:58:44
795139,2026-04-19 03:58:45
72295139,2026-04-19 03:58:45
695139,2026-04-19 03:58:45
072295139,2026-04-19 03:58:46
95139,2026-04-19 03:58:46
72295139,2026-04-19 03:58:46
795139,2026-04-19 03:58:47
95139,2026-04-19 03:58:47
295139,2026-04-19 03:58:47
6BAE95139,2026-04-19 03:58:47
295139,2026-04-19 03:58:48
2795139,2026-04-19 03:58:48
0295139,2026-04-19 03:58:48
O295139,2026-04-19 03:58:48
O95139,2026-04-19 03:58:49
95139,2026-04-19 03:58:49
695139,2026-04-19 03:58:49
795139,2026-04-19 03:58:50
O95139,2026-04-19 03:58:50
56569,2026-04-19 03:58:54
56549,2026-04-19 03:58:55
56569,2026-04-19 03:58:57
56549,2026-04-19 03:58:58
42892,2026-04-19 03:58:59
AE3OE,2026-04-19 03:59:04
ASOTE,2026-04-19 03:59:05
