epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7669,1.61676,4.33948,1.533,0.00171,0.21875,0.00722,0.00265,1.49714,4.45087,1.48496,4e-05,4e-05,4e-05
2,49.5782,1.36139,3.82641,1.42133,0.00199,0.25521,0.01541,0.00651,1.48809,4.35108,1.41561,9.67e-05,9.67e-05,9.67e-05
3,67.3557,1.40627,3.65591,1.27427,0.0024,0.30729,0.01585,0.01045,1.51244,4.22761,1.28709,0.00014944,0.00014944,0.00014944
4,82.5249,1.02531,3.15916,1.13037,0.00289,0.36979,0.02571,0.01547,1.48601,4.04008,1.19873,0.00019822,0.00019822,0.00019822
5,97.8883,1.17374,2.93738,1.06004,0.00329,0.42188,0.03619,0.02004,1.43995,4.00952,1.15117,0.00024304,0.00024304,0.00024304
6,112.831,1.17513,2.55902,1.0924,0.00374,0.47917,0.04847,0.02572,1.52322,3.90089,1.139,0.0002839,0.0002839,0.0002839
7,133.796,1.1887,2.40102,1.03624,0.00402,0.51562,0.05901,0.03348,1.56906,3.81309,1.13801,0.0003208,0.0003208,0.0003208
8,159.574,1.01815,2.40232,1.02076,0.00427,0.54688,0.06753,0.03819,1.60225,3.73513,1.16588,0.00035374,0.00035374,0.00035374
9,177.73,1.22168,2.40075,1.05752,0.00447,0.57292,0.07015,0.03504,1.58616,3.75416,1.16345,0.00038272,0.00038272,0.00038272
10,205.556,1.20156,2.35705,1.00663,0.00463,0.59375,0.06474,0.03373,1.57585,3.77774,1.16367,0.00040774,0.00040774,0.00040774
11,221.114,1.24103,2.16436,1.03626,0.00463,0.59375,0.07213,0.03704,1.56736,3.82743,1.17323,0.0004288,0.0004288,0.0004288
12,238.186,1.12861,2.04194,1.04614,0.00476,0.60938,0.06652,0.04073,1.60119,3.81959,1.1823,0.0004459,0.0004459,0.0004459
13,265.944,0.96549,1.93193,1.02915,0.00478,0.30895,0.06803,0.03899,1.62666,3.75038,1.17617,0.00045904,0.00045904,0.00045904
14,293.809,1.16417,2.20609,1.06273,1,0.01968,0.05959,0.03611,1.64167,3.71039,1.17101,0.00046822,0.00046822,0.00046822
15,322.553,1.16462,1.88826,1.12623,1,0.01968,0.05959,0.03611,1.64167,3.71039,1.17101,0.00047344,0.00047344,0.00047344
16,351.767,1.12816,1.70523,1.01677,1,0.01648,0.08158,0.04236,1.68421,3.62393,1.17404,0.0004747,0.0004747,0.0004747
17,374.588,1.09833,1.52074,1.0108,1,0.01875,0.17575,0.08415,1.72505,3.55511,1.20142,0.000472,0.000472,0.000472
18,399.868,1.10893,1.69552,0.96984,1,0.01875,0.17575,0.08415,1.72505,3.55511,1.20142,0.00046534,0.00046534,0.00046534
19,430.293,1.08838,1.59594,0.93387,0.80095,0.02098,0.25,0.11251,1.75429,3.45086,1.23882,0.00045472,0.00045472,0.00045472
20,449.751,1.12163,1.49713,1.01043,1,0.0394,0.28205,0.12503,1.77766,3.47124,1.24709,0.00044014,0.00044014,0.00044014
21,464.955,1.08888,2.13211,1.00877,1,0.0394,0.28205,0.12503,1.77766,3.47124,1.24709,0.0004216,0.0004216,0.0004216
22,480.806,1.1522,1.98427,0.99192,0.965,0.07292,0.28936,0.13048,1.78653,3.4766,1.25947,0.0003991,0.0003991,0.0003991
23,506.871,1.15405,2.00554,1.02068,0.965,0.07292,0.28936,0.13048,1.78653,3.4766,1.25947,0.00037264,0.00037264,0.00037264
24,535.669,1.07113,1.92387,1.01526,1,0.07186,0.26808,0.12784,1.81072,3.49335,1.27154,0.00034222,0.00034222,0.00034222
25,561.957,1.13078,2.04444,1.03287,1,0.07186,0.26808,0.12784,1.81072,3.49335,1.27154,0.00030784,0.00030784,0.00030784
26,581.458,1.13565,1.90242,0.99756,0.98714,0.08854,0.26226,0.12624,1.8096,3.4851,1.27021,0.0002695,0.0002695,0.0002695
27,600.334,1.02104,1.97651,0.96593,0.98714,0.08854,0.26226,0.12624,1.8096,3.4851,1.27021,0.0002272,0.0002272,0.0002272
28,615.069,1.08379,1.93112,0.92595,0.93502,0.13021,0.27945,0.13741,1.81854,3.37891,1.26391,0.00018094,0.00018094,0.00018094
29,630.462,1.04814,1.99681,0.9567,0.93502,0.13021,0.27945,0.13741,1.81854,3.37891,1.26391,0.00013072,0.00013072,0.00013072
30,645.844,1.10715,1.98276,0.99624,0.93502,0.13021,0.27945,0.13741,1.81854,3.37891,1.26391,7.654e-05,7.654e-05,7.654e-05
